Name,HoF,Yrs,WAR,WAR7,JAWS,Jpos,JAWSratio,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPSadj
Ken Griffey Sr,No,19,34.5,23.6,29.1,57.2,50.87412587,2097,7229,1129,2143,152,859,200,719,0.296,0.359,0.431,0.79,118
Ken Keltner,No,13,33.8,28.8,31.3,55.7,56.19389587,1526,5683,737,1570,163,852,39,514,0.276,0.338,0.441,0.778,112
Ken Williams,No,14,42.6,36.5,39.6,53.6,73.88059701,1397,4862,860,1552,196,916,154,566,0.319,0.393,0.53,0.924,138
Kenny Lofton,No,17,68.3,43.4,55.9,58,96.37931034,2103,8120,1528,2428,130,781,622,945,0.299,0.372,0.423,0.794,107
Kent Hrbek,No,14,38.6,27.5,33.1,54.2,61.0701107,1747,6192,903,1749,293,1086,37,838,0.282,0.367,0.481,0.848,128
Kevin Mitchell,No,13,29.1,26.5,27.8,53.6,51.86567164,1223,4134,630,1173,234,760,30,491,0.284,0.36,0.52,0.88,142
Kid Elberfield,No,13,33,25.8,29.4,55.3,53.16455696,1292,4561,647,1235,10,535,213,427,0.271,0.355,0.339,0.694,105
Kiki Cuyler,Yes,18,46.7,34.9,40.8,57.2,71.32867133,1879,7161,1305,2299,128,1065,328,676,0.321,0.386,0.474,0.86,125
King Kelly,Yes,16,44.3,31.1,37.7,57.2,65.90909091,1456,5896,1357,1813,69,950,368,549,0.307,0.368,0.438,0.806,139
Kirby Puckett,Yes,12,51.1,37.6,44.4,58,76.55172414,1783,7244,1071,2304,207,1085,134,450,0.318,0.36,0.477,0.837,124
Kirk Gibson,No,17,38.4,29.9,34.2,57.2,59.79020979,1635,5798,985,1553,255,870,284,718,0.268,0.352,0.463,0.815,123
Lance Berkman,No,15,52.1,39.3,45.7,53.6,85.26119403,1879,6491,1146,1905,366,1234,86,1201,0.293,0.406,0.537,0.943,144
Lance Parrish,No,19,39.5,28.4,34,44.2,76.92307692,1988,7067,856,1782,324,1070,28,612,0.252,0.313,0.44,0.753,106
Larry Bowa,No,16,22.8,21.5,22.2,55.3,40.14466546,2247,8418,987,2191,15,525,318,474,0.26,0.3,0.32,0.62,71
Larry Doby,Yes,13,49.6,39.6,44.6,58,76.89655172,1533,5348,960,1515,253,970,47,871,0.283,0.386,0.49,0.876,136
Larry Doyle,No,14,45,30.1,37.6,57,65.96491228,1766,6509,960,1887,74,794,298,625,0.29,0.357,0.408,0.765,125
Larry McLean,No,13,11.1,11.3,11.2,44.2,25.33936652,862,2647,183,694,6,298,20,136,0.262,0.301,0.323,0.623,86
Larry Parrish,No,15,15.7,15.8,15.7,55.7,28.18671454,1891,6792,850,1789,256,992,30,529,0.263,0.318,0.439,0.757,107
Larry Walker,Yes,17,72.7,44.7,58.7,57.2,102.6223776,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141
Lave Cross,No,21,47.2,28.7,38,55.7,68.22262118,2277,9084,1338,2651,47,1378,303,466,0.292,0.329,0.383,0.711,100
Lee May,No,18,27.2,21.8,24.5,54.2,45.20295203,2071,7609,959,2031,354,1244,39,487,0.267,0.313,0.459,0.772,116
Lefty O'Doul,No,11,27.1,27.3,27.2,53.6,50.74626866,970,3264,624,1140,113,542,36,333,0.349,0.413,0.534,0.945,143
Lenny Dykstra,No,12,42.5,33,37.7,58,65,1278,4559,802,1298,81,404,285,640,0.285,0.375,0.419,0.793,120
Leo Cardenas,No,16,27.3,23.3,25.3,55.3,45.75045208,1941,6707,662,1725,118,689,39,522,0.257,0.311,0.367,0.679,88
Lew Fonseca,No,12,13.9,14.4,14.2,54.2,26.19926199,937,3404,518,1075,31,485,64,186,0.316,0.355,0.432,0.788,103
Lloyd Waner,Yes,18,24.1,20.3,22.2,58,38.27586207,1993,7772,1201,2459,27,598,67,420,0.316,0.353,0.393,0.747,99
Lonnie Smith,No,17,38.5,29.8,34.2,53.6,63.80597015,1613,5170,909,1488,98,533,370,623,0.288,0.371,0.42,0.791,118
Lou Boudreau,Yes,15,63,48.7,55.8,55.3,100.9041591,1646,6029,861,1779,68,789,51,796,0.295,0.38,0.415,0.795,120
Lou Brock,Yes,19,45.3,32.1,38.7,53.6,72.20149254,2616,10332,1610,3023,149,900,938,761,0.293,0.343,0.41,0.753,109
Lou Criger,No,16,10.7,9.9,10.3,44.2,23.30316742,1012,3202,337,709,11,342,58,309,0.221,0.295,0.29,0.584,72
Lou Gehrig,Yes,17,112.4,67.7,90.1,54.2,166.2361624,2164,8001,1888,2721,493,1995,102,1508,0.34,0.447,0.632,1.08,179
Lou Piniella,No,18,12.5,16.2,14.4,53.6,26.86567164,1747,5867,651,1705,102,766,32,368,0.291,0.333,0.409,0.741,109
Lou Whitaker,No,19,75.1,37.9,56.5,57,99.12280702,2390,8570,1386,2369,244,1084,143,1197,0.276,0.363,0.426,0.789,117
Lu Blue,No,13,36.7,28,32.3,54.2,59.59409594,1615,5904,1152,1696,44,695,151,1092,0.287,0.402,0.401,0.803,109
Luis Aparicio,Yes,18,55.8,32.7,44.3,55.3,80.1084991,2599,10230,1335,2677,83,791,506,736,0.262,0.311,0.343,0.653,82
Luis Gonzalez,No,19,51.8,34,42.9,53.6,80.03731343,2591,9157,1412,2591,354,1439,128,1155,0.283,0.367,0.478,0.845,119
Luke Apping,Yes,20,74.4,43.8,59.1,55.3,106.8716094,2422,8856,1319,2749,45,1116,179,1302,0.31,0.399,0.398,0.798,113
Luke Sewell,No,20,3.8,6.6,5.2,44.2,11.76470588,1630,5383,653,1393,20,698,66,486,0.259,0.323,0.341,0.665,70
Magglio Ordonez,No,15,38.7,32,35.4,57.2,61.88811189,1848,6978,1076,2156,294,1236,94,651,0.309,0.369,0.502,0.871,125
Manny Mota,No,20,17.6,14.4,16,53.6,29.85074627,1536,3779,495,1149,31,438,50,289,0.304,0.355,0.389,0.744,112
Manny Ramirez,No,19,69.4,40,54.7,53.6,102.0522388,2302,8224,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154
Manny Sanguillen,No,13,27.5,26.4,27,44.2,61.08597285,1448,5062,566,1500,65,585,35,223,0.296,0.326,0.398,0.724,102
Mark Belanger,No,18,40.9,31.9,36.4,55.3,65.82278481,2016,5784,676,1316,20,389,167,576,0.228,0.3,0.28,0.58,68
Mark Grace,No,16,46.4,29.7,38,54.2,70.11070111,2245,8065,1179,2445,173,1146,70,1075,0.303,0.383,0.442,0.825,119
Mark McGwire,No,16,62.2,41.9,52,54.2,95.94095941,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163
Mark Teixeira,No,14,50.6,38,44.3,54.2,81.73431734,1862,6936,1099,1862,409,1298,26,918,0.268,0.36,0.509,0.869,126
Marquis Grissom,No,17,29.6,27.5,28.5,58,49.13793103,2165,8275,1187,2251,227,967,429,553,0.272,0.318,0.415,0.732,92
Marty Bergen,No,4,0.1,0.1,0.1,44.2,0.226244344,344,1278,180,339,10,176,24,52,0.265,0.299,0.347,0.646,72
Marty Marion,No,13,31.6,26.2,28.9,55.3,52.26039783,1572,5506,602,1448,36,624,35,470,0.263,0.323,0.345,0.668,81
Marty McManus,No,15,33.6,23.8,28.7,57,50.35087719,1831,6660,1008,1926,120,992,126,675,0.289,0.357,0.43,0.787,102
Matt Williams,No,17,46.6,34,40.3,55.7,72.3518851,1866,7000,997,1878,378,1218,53,469,0.268,0.317,0.489,0.805,113
Matty Alou,No,15,23,23.4,23.2,58,40,1667,5789,780,1777,31,427,156,311,0.307,0.345,0.381,0.726,105
Maury Wills,No,14,39.7,29.6,34.7,55.3,62.74864376,1942,7588,1067,2134,20,458,586,552,0.281,0.33,0.331,0.661,88
Max Bishop,No,12,37.4,29.2,33.3,57,58.42105263,1338,4494,966,1216,41,379,40,1156,0.271,0.423,0.366,0.789,103
Max Carey,Yes,20,54,33,43.5,58,75,2476,9363,1545,2665,70,802,738,1040,0.285,0.361,0.386,0.747,108
Mel Ott,Yes,22,107.8,52.9,80.3,57.2,140.3846154,2730,9456,1859,2876,511,1860,89,1708,0.304,0.414,0.533,0.947,155
Michael Young,No,14,24.6,21.4,23,55.3,41.59132007,1970,7918,1137,2375,185,1030,90,575,0.3,0.346,0.441,0.787,104
Mickey Cochrane,Yes,13,52.1,36.9,44.5,44.2,100.678733,1482,5169,1041,1652,119,830,64,857,0.32,0.419,0.478,0.879,129
Mickey Mantle,Yes,18,110.3,64.8,87.6,58,151.0344828,2401,8102,1676,2415,536,1509,153,1733,0.298,0.421,0.557,0.977,172
Mickey Rivers,No,15,32.7,27.7,30.2,58,52.06896552,1468,5629,785,1660,61,499,267,266,0.295,0.327,0.397,0.724,106
Mickey Stanley,No,15,17.3,14.7,16,58,27.5862069,1516,5022,641,1243,117,500,44,371,0.248,0.298,0.377,0.675,90
Mickey Vernon,No,20,34.5,25.4,30,54.2,55.35055351,2409,8731,1196,2495,172,1311,137,955,0.286,0.359,0.428,0.787,116
Miguel Tejada,No,16,47.3,36.6,41.9,55.3,75.76853526,2171,8434,1230,2407,307,1302,85,553,0.285,0.336,0.456,0.791,108
Mike Donlin,No,12,29.4,26.8,28.1,58,48.44827586,1049,3854,669,1282,51,543,213,312,0.33,0.386,0.468,0.854,144
Mike Gonzalez,No,17,7.2,8.3,7.8,44.2,17.64705882,1042,2829,283,717,13,263,52,231,0.253,0.314,0.324,0.638,80
Mike Greenwell,No,12,25.8,25.7,25.8,53.6,48.13432836,1269,4623,657,1400,130,726,80,460,0.303,0.368,0.463,0.831,121
Mike Hargrove,No,12,30.4,24.3,27.3,54.2,50.36900369,1666,5564,783,1614,80,686,24,965,0.29,0.396,0.391,0.781,121
Mike Jorgensen,No,17,9.1,10.4,9.7,54.2,17.89667897,1633,3421,429,833,95,426,58,532,0.243,0.347,0.373,0.72,101
